iter	Passed	Remaining
463	764	882
464	765	881
465	767	879
466	768	876
467	769	874
468	770	872
469	771	870
470	772	867
471	773	865
472	774	863
473	776	861
474	777	858
475	779	858
476	781	856
477	782	854
478	783	852
479	784	850
480	785	847
481	786	845
482	787	843
483	788	841
484	790	838
485	791	836
486	792	834
487	795	834
488	796	832
489	798	830
490	799	828
491	800	826
492	801	823
493	802	822
494	803	819
495	804	817
496	805	815
497	806	812
498	807	810
499	809	809
500	811	807
501	812	805
502	813	803
503	814	801
504	815	799
505	816	797
506	817	795
507	819	793
508	820	791
509	821	789
510	823	787
511	824	785
512	826	784
513	827	782
514	828	780
515	829	777
516	830	775
517	830	773
518	831	770
519	832	768
520	833	766
521	835	764
522	836	762
523	837	760
524	839	759
525	840	757
526	841	755
527	842	753
528	843	751
529	844	748
530	845	746
531	846	744
532	847	742
533	848	740
534	850	738
535	851	736
536	853	735
537	855	735
538	857	733
539	858	731
540	859	729
541	860	727
542	861	725
543	862	723
544	863	721
545	864	719
546	866	717
547	870	717
548	871	716
549	872	714
550	874	712
551	875	710
552	876	708
553	877	706
554	879	704
555	880	702
556	881	701
557	883	699
558	884	698
559	886	696
560	887	694
561	888	692
562	889	690
563	890	688
564	892	686
565	893	684
566	894	682
567	895	680
568	896	678
569	897	677
570	899	675
571	900	674
572	901	672
573	903	670
574	904	668
575	905	666
576	906	664
577	907	662
578	908	660
579	909	658
580	910	656
581	911	654
582	914	653
583	915	652
584	916	650
585	918	648
586	918	646
587	920	644
588	921	642
589	922	640
590	923	639
591	924	637
592	925	635
593	926	633
594	928	632
595	930	630
596	931	628
597	932	626
598	933	624
599	934	622
600	935	621
601	936	619
602	937	617
603	939	615
604	940	613
605	941	612
606	943	610
607	944	609
608	946	607
609	947	605
610	948	603
611	949	602
612	950	600
613	952	598
614	953	596
615	954	595
616	955	593
617	958	592
618	960	590
619	961	589
620	962	587
621	963	585
622	964	583
623	965	581
624	966	580
625	967	578
626	968	576
627	969	574
628	971	572
629	974	572
630	975	570
631	977	568
632	978	567
633	979	565
634	980	563
635	981	561
636	983	560
637	984	558
638	985	556
639	986	554
640	989	554
641	990	552
642	991	550
643	993	549
644	994	547
645	995	545
646	996	543
647	997	541
648	998	540
649	1000	538
650	1001	536
651	1003	535
652	1004	534
653	1006	532
654	1007	530
655	1009	529
656	1010	527
657	1011	525
658	1012	523
659	1013	522
660	1014	520
661	1015	518
662	1019	518
663	1020	516
664	1022	514
665	1023	513
666	1024	511
667	1025	509
668	1026	507
669	1027	506
670	1028	504
671	1030	502
672	1034	502
673	1036	501
674	1037	499
675	1039	498
676	1041	496
677	1042	495
678	1043	493
679	1044	491
680	1046	490
681	1050	489
682	1052	488
683	1053	486
684	1055	485
685	1056	483
686	1057	481
687	1059	480
688	1060	478
689	1067	479
690	1069	478
691	1072	477
692	1075	476
693	1081	476
694	1082	475
695	1084	473
696	1086	472
697	1094	473
698	1097	472
699	1101	471
700	1103	470
701	1105	469
702	1107	467
703	1116	469
704	1119	468
705	1121	467
706	1123	465
707	1129	465
708	1131	464
709	1133	462
710	1134	461
711	1142	461
712	1145	460
713	1148	460
714	1150	458
715	1155	458
716	1157	457
717	1159	455
718	1162	454
719	1163	452
720	1165	450
721	1181	455
722	1183	453
723	1186	452
724	1187	450
725	1189	448
726	1190	446
727	1191	445
728	1192	443
729	1193	441
730	1194	439
731	1195	437
732	1196	435
733	1198	434
734	1201	433
735	1202	431
736	1204	429
737	1205	427
738	1206	426
739	1207	424
740	1208	422
741	1209	420
742	1210	418
743	1213	417
744	1216	416
745	1217	414
746	1219	412
747	1220	411
748	1221	409
749	1222	407
750	1223	405
751	1225	404
752	1226	402
753	1227	400
754	1228	398
755	1230	397
756	1232	395
757	1234	394
758	1235	392
759	1236	390
760	1237	388
761	1238	386
762	1239	385
763	1241	383
764	1242	381
765	1243	379
766	1245	378
767	1246	376
768	1247	374
769	1248	373
770	1250	371
771	1251	369
772	1252	367
773	1254	366
774	1255	364
775	1256	362
776	1257	360
777	1258	359
778	1260	357
779	1262	356
780	1263	354
781	1265	352
782	1267	351
783	1268	349
784	1271	348
785	1272	346
786	1277	345
787	1279	344
788	1281	342
789	1282	340
790	1284	339
791	1286	337
792	1287	336
793	1288	334
794	1293	333
795	1294	331
796	1296	330
797	1297	328
798	1300	327
799	1302	325
800	1303	323
801	1306	322
802	1308	321
803	1310	319
804	1311	317
805	1313	316
806	1315	314
807	1317	313
808	1318	311
809	1320	309
810	1323	308
811	1324	306
812	1326	305
813	1327	303
814	1328	301
815	1329	299
816	1331	298
817	1332	296
818	1333	294
819	1334	292
820	1339	291
821	1340	290
822	1342	288
823	1343	286
824	1344	285
825	1346	283
826	1347	281
827	1349	280
828	1350	278
829	1352	277
830	1354	275
831	1355	273
832	1356	271
833	1357	270
834	1359	268
835	1360	266
836	1362	265
837	1364	263
838	1365	261
839	1367	260
840	1369	258
841	1371	257
842	1372	255
843	1374	253
844	1375	252
845	1376	250
846	1378	248
847	1381	247
848	1384	246
849	1386	244
850	1387	242
851	1389	241
852	1391	239
853	1393	238
854	1396	236
855	1399	235
856	1400	233
857	1401	231
858	1402	230
859	1403	228
860	1405	226
861	1406	225
862	1407	223
863	1408	221
864	1409	220
865	1412	218
866	1413	216
867	1414	215
868	1415	213
869	1416	211
870	1417	209
871	1418	208
872	1419	206
873	1421	204
874	1422	203
875	1423	201
876	1424	199
877	1427	198
878	1428	196
879	1429	194
880	1430	193
881	1431	191
882	1432	189
883	1433	188
884	1435	186
885	1436	184
886	1437	183
887	1438	181
888	1439	179
889	1442	178
890	1443	176
891	1444	174
892	1445	173
893	1446	171
894	1447	169
895	1448	168
896	1449	166
897	1451	164
898	1452	163
899	1453	161
900	1454	159
901	1457	158
902	1459	156
903	1460	155
904	1461	153
905	1462	151
906	1463	150
907	1464	148
908	1465	146
909	1466	145
910	1467	143
911	1468	141
912	1470	140
913	1472	138
914	1473	136
915	1474	135
916	1476	133
917	1477	131
918	1478	130
919	1479	128
920	1480	127
921	1482	125
922	1483	123
923	1485	122
924	1487	120
925	1488	118
926	1489	117
927	1490	115
928	1491	114
929	1492	112
930	1493	110
931	1495	109
932	1496	107
933	1497	105
934	1498	104
935	1501	102
936	1503	101
937	1505	99
938	1506	97
939	1507	96
940	1508	94
941	1510	93
942	1511	91
943	1513	89
944	1516	88
945	1518	86
946	1519	85
947	1520	83
948	1522	81
949	1523	80
950	1524	78
951	1526	76
952	1527	75
953	1528	73
954	1531	72
955	1532	70
956	1533	68
957	1535	67
958	1536	65
959	1537	64
960	1538	62
961	1539	60
962	1540	59
963	1541	57
964	1542	55
965	1544	54
966	1546	52
967	1548	51
968	1550	49
969	1551	47
970	1553	46
971	1554	44
972	1555	43
973	1556	41
974	1558	39
975	1561	38
976	1563	36
977	1565	35
978	1566	33
979	1567	31
980	1568	30
981	1570	28
982	1571	27
983	1572	25
984	1574	23
985	1576	22
986	1577	20
987	1579	19
988	1580	17
989	1581	15
990	1582	14
991	1583	12
992	1584	11
993	1585	9
994	1586	7
995	1587	6
996	1590	4
997	1592	3
998	1593	1
999	1594	0
